taxid	lineage	name	rank	SRR5803943	SRR5803944	SRR5803945	SRR5803946	SRR5803949	SRR5803950	SRR5803951	SRR5803952	SRR5803953	SRR5803954	SRR5803955	SRR5803956	SRR5803957	SRR5803958	SRR5803959	SRR5803960	SRR5803961	SRR5803962	SRR5803963	SRR5803964	SRR5803965	SRR5803966	SRR5803967	SRR5803968	SRR5803969	SRR5803970	SRR5803971	SRR5803972	SRR5803973	SRR5803984	SRR5803985	SRR5803986	SRR5803997	SRR5803998	SRR5803999	SRR5804000	SRR5804001	SRR5804002	SRR5804003	SRR5804004	SRR5804005	SRR5804006	SRR5804007	SRR5804008	SRR5804009	SRR5804010	SRR5804011	SRR5804012
3748	Root;rootrank;Bacteria;domain;Bacteroidetes;phylum;Saprospiria;class;Saprospirales;order;Lewinellaceae;family;	Lewinellaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	1	3	1	0	0	0	1	2	0	0	3	0	0	0	1	1	1	0	2	1	0	2	0
645	Root;rootrank;Bacteria;domain;Bacteroidetes;phylum;Saprospiria;class;Saprospirales;order;Lewinellaceae;family;Haliscomenobacter;genus;	Haliscomenobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
-3749	Root;rootrank;Bacteria;domain;Bacteroidetes;phylum;Saprospiria;class;Saprospirales;order;Lewinellaceae;family;unclassified_Lewinellaceae;;	unclassified_Lewinellaceae		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	3	0	0	0	1	0	0	0	2	0	0	2	0
841	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;	Proteobacteria	phylum	1020	975	182	417	511	1194	636	404	405	62	1365	620	478	657	224	255	227	477	238	629	1408	1141	708	622	135	394	879	749	557	544	917	402	1002	273	1838	852	1665	820	2569	837	1060	709	254	96	475	466	1284	893
1352	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;	Deltaproteobacteria	class	348	446	56	43	83	165	46	72	177	27	529	140	189	77	60	138	23	166	80	230	128	249	114	231	40	81	263	215	158	50	348	28	315	5	106	56	38	141	146	61	105	95	67	28	51	97	199	73
1417	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;	Desulfuromonadales	order	319	435	36	32	51	31	34	32	138	14	429	129	142	48	43	91	18	159	61	87	36	232	87	196	24	67	236	187	109	40	338	19	284	1	75	33	7	135	74	34	47	85	59	18	17	75	123	32
1423	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;	Geobacteraceae	family	319	435	36	32	51	31	34	31	138	14	429	129	142	48	43	91	18	159	61	87	36	232	86	196	24	67	236	187	109	40	338	19	284	1	75	33	7	135	74	34	47	85	59	18	17	75	123	32
1425	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;Geobacter;genus;	Geobacter	genus	191	208	33	26	48	26	29	17	125	5	280	93	118	29	26	82	14	134	42	50	27	210	73	167	18	62	197	154	74	39	196	18	273	0	60	30	6	128	62	29	27	79	55	17	14	72	112	26
4052	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;Geomonas;genus;	Geomonas	genus	1	6	0	0	0	1	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
-1424	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;unclassified_Geobacteraceae;;	unclassified_Geobacteraceae		127	221	3	6	3	4	5	14	13	9	146	36	23	18	17	9	4	25	19	37	9	22	13	28	6	5	38	33	34	1	137	1	11	1	15	3	1	7	12	5	20	6	4	1	2	2	10	5
-1418	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;unclassified_Desulfuromonadales;;	unclassified_Desulfuromonadales		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1395	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;	Desulfovibrionales	order	6	0	0	0	0	0	0	6	0	5	20	0	0	0	1	0	1	0	5	0	11	0	0	0	1	0	1	0	7	0	0	0	0	0	1	0	0	0	7	2	0	0	2	0	1	0	4	0
1407	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfovibrionaceae;family;	Desulfovibrionaceae	family	6	0	0	0	0	0	0	6	0	5	14	0	0	0	1	0	0	0	5	0	11	0	0	0	1	0	1	0	6	0	0	0	0	0	1	0	0	0	6	2	0	0	1	0	1	0	4	0
1411	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfovibrionaceae;family;Desulfovibrio;genus;	Desulfovibrio	genus	6	0	0	0	0	0	0	6	0	5	14	0	0	0	1	0	0	0	5	0	11	0	0	0	1	0	1	0	6	0	0	0	0	0	1	0	0	0	6	2	0	0	1	0	1	0	4	0
-1396	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;unclassified_Desulfovibrionales;;	unclassified_Desulfovibrionales		0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
3372	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Deltaproteobacteria_incertae_sedis;order;	Deltaproteobacteria_incertae_sedis	order	4	0	1	0	1	1	0	0	0	1	11	0	4	0	1	5	0	1	3	0	0	0	1	2	0	2	5	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	7	0
3224	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Deltaproteobacteria_incertae_sedis;order;Deferrisoma;genus;	Deferrisoma	genus	4	0	1	0	1	1	0	0	0	1	11	0	4	0	1	5	0	1	3	0	0	0	1	2	0	2	5	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	7	0
1364	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;	Desulfobacterales	order	9	4	13	5	5	32	4	9	5	0	11	6	2	3	13	3	4	0	7	2	10	5	17	0	1	5	17	5	12	8	1	3	1	4	17	8	9	1	38	5	50	1	4	6	29	7	47	21
1385	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;	Desulfobulbaceae	family	6	3	10	1	4	16	2	4	2	0	3	2	0	0	5	1	1	0	1	1	7	2	2	0	0	3	7	0	7	6	0	1	1	1	8	5	5	0	5	1	32	1	2	3	14	3	12	3
-1386	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;unclassified_Desulfobulbaceae;;	unclassified_Desulfobulbaceae		6	0	8	1	4	4	1	4	1	0	3	0	0	0	5	0	1	0	1	1	7	2	1	0	0	1	6	0	7	2	0	1	0	1	8	5	5	0	5	1	32	0	2	1	13	1	11	3
1386	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;Desulfobulbus;genus;	Desulfobulbus	genus	0	2	1	0	0	9	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
1387	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;Desulfocapsa;genus;	Desulfocapsa	genus	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
3230	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;Desulfoprunum;genus;	Desulfoprunum	genus	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1392	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;Desulfurivibrio;genus;	Desulfurivibrio	genus	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1365	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;unclassified_Desulfobacterales;;	unclassified_Desulfobacterales		3	0	1	0	0	1	2	4	0	0	7	1	0	3	5	0	3	0	5	0	1	2	6	0	0	1	4	1	3	0	0	1	0	2	6	2	3	0	32	4	14	0	2	3	15	1	34	15
1365	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;	Desulfobacteraceae	family	0	1	2	4	1	15	0	1	3	0	1	3	2	0	3	2	0	0	1	1	2	1	9	0	1	1	6	4	2	2	1	1	0	1	3	1	1	1	1	0	4	0	0	0	0	3	1	3
-1366	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;unclassified_Desulfobacteraceae;;	unclassified_Desulfobacteraceae		0	1	2	2	1	2	0	1	2	0	1	2	2	0	2	1	0	0	1	1	1	1	4	0	1	0	3	4	2	2	1	1	0	1	2	1	0	1	1	0	4	0	0	0	0	2	1	3
1371	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;Desulfobacula;genus;	Desulfobacula	genus	0	0	0	2	0	12	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
1368	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;Desulfatirhabdium;genus;	Desulfatirhabdium	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1461	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;	Syntrophobacterales	order	6	5	3	4	4	81	2	5	28	6	37	1	39	6	2	36	0	3	3	0	38	12	6	27	13	6	3	11	22	1	8	0	25	0	3	3	4	4	15	4	6	3	1	2	1	7	16	6
1462	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;	Syntrophaceae	family	6	5	3	4	2	25	0	5	26	6	37	0	38	6	1	36	0	3	3	0	38	12	5	26	13	5	3	11	22	1	8	0	23	0	3	0	3	4	14	4	6	3	1	2	0	5	13	6
1465	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;Smithella;genus;	Smithella	genus	4	1	1	4	2	24	0	5	25	6	37	0	2	5	0	26	0	1	3	0	36	7	4	0	6	3	2	1	19	1	2	0	18	0	2	0	1	3	13	3	4	1	1	2	0	5	13	3
-1463	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;unclassified_Syntrophaceae;;	unclassified_Syntrophaceae		2	4	2	0	0	1	0	0	1	0	0	0	36	1	1	10	0	2	0	0	2	5	1	25	7	2	1	10	3	0	6	0	5	0	1	0	2	1	1	1	1	2	0	0	0	0	0	3
1464	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;Desulfomonile;genus;	Desulfomonile	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1467	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;	Syntrophobacteraceae	family	0	0	0	0	2	56	2	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	0	1	2	3	0
-1468	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;unclassified_Syntrophobacteraceae;;	unclassified_Syntrophobacteraceae		0	0	0	0	2	55	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	2	3	0
1472	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;Desulfovirga;genus;	Desulfovirga	genus	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1471	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;Desulfosoma;genus;	Desulfosoma	genus	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1473	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;Syntrophobacter;genus;	Syntrophobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
1353	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;	Bdellovibrionales	order	4	1	1	1	14	7	1	6	1	1	16	2	1	12	0	3	0	2	0	136	20	0	2	2	0	0	0	3	2	0	1	6	0	0	5	0	1	0	3	5	0	0	0	2	2	2	0	5
1357	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;Bdellovibrionaceae;family;	Bdellovibrionaceae	family	4	1	1	1	14	7	1	6	1	1	16	2	1	12	0	3	0	2	0	136	20	0	2	2	0	0	0	3	2	0	1	6	0	0	5	0	1	0	3	5	0	0	0	2	2	2	0	5
1360	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;Bdellovibrionaceae;family;Vampirovibrio;genus;	Vampirovibrio	genus	4	1	1	1	14	7	1	6	1	1	16	2	1	12	0	3	0	2	0	136	20	0	2	2	0	0	0	3	2	0	1	6	0	0	5	0	1	0	3	5	0	0	0	2	2	2	0	5
-1353	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;unclassified_Deltaproteobacteria;;	unclassified_Deltaproteobacteria		0	1	2	0	1	4	0	1	0	0	4	0	1	1	0	0	0	1	0	5	6	0	1	4	0	0	0	6	1	0	0	0	1	0	5	3	17	0	6	5	0	2	0	0	0	1	1	7
1475	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophorhabdaceae;family;	Syntrophorhabdaceae	family	0	0	0	1	1	5	0	0	3	0	1	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	3	0	0	2	0	0	0	2	0	0
1476	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophorhabdaceae;family;Syntrophorhabdus;genus;	Syntrophorhabdus	genus	0	0	0	1	1	5	0	0	3	0	1	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	3	0	0	2	0	0	0	2	0	0
1429	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;	Myxococcales	order	0	0	0	0	6	4	5	13	2	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	1	1	1	1	1	1	0	0	0	0	0	9	0	0	0	6	1	2	0	0	1	2	1	2
1430	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;	Cystobacterineae	suborder	0	0	0	0	6	4	4	13	2	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	1	1	0	1	1	1	0	0	0	0	0	9	0	0	0	0	0	2	0	0	1	2	0	0
1438	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Myxococcaceae;family;	Myxococcaceae	family	0	0	0	0	6	3	4	13	2	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	9	0	0	0	0	0	1	0	0	1	2	0	0
3065	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Myxococcaceae;family;Aggregicoccus;genus;	Aggregicoccus	genus	0	0	0	0	6	3	4	13	2	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	9	0	0	0	0	0	1	0	0	1	2	0	0
3663	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Anaeromyxobacteraceae;family;	Anaeromyxobacteraceae	family	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3664	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Anaeromyxobacteraceae;family;Anaeromyxobacter;genus;	Anaeromyxobacter	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
-1431	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;unclassified_Cystobacterineae;;	unclassified_Cystobacterineae		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1430	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;unclassified_Myxococcales;;	unclassified_Myxococcales		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
1452	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Sorangiineae;suborder;	Sorangiineae	suborder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
1455	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Sorangiineae;suborder;Polyangiaceae;family;	Polyangiaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
-1456	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Sorangiineae;suborder;Polyangiaceae;family;unclassified_Polyangiaceae;;	unclassified_Polyangiaceae		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
1443	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Nannocystineae;suborder;	Nannocystineae	suborder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
1448	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Nannocystineae;suborder;Nannocystaceae;family;	Nannocystaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
-1449	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Nannocystineae;suborder;Nannocystaceae;family;unclassified_Nannocystaceae;;	unclassified_Nannocystaceae		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
1175	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;	Betaproteobacteria	class	605	498	98	310	174	723	489	293	183	18	762	274	244	493	145	80	162	270	116	217	1118	748	497	332	65	263	565	440	255	380	542	291	497	256	1517	690	1567	476	1419	634	873	511	130	52	383	286	638	712
1318	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;	Nitrosomonadales	order	219	59	45	68	49	104	330	249	87	5	489	197	181	451	112	33	95	183	84	156	967	402	201	241	36	164	426	256	167	305	65	223	216	211	1320	589	1382	386	1217	524	535	354	112	32	290	164	552	612
1280	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;	Methylophilaceae	family	93	30	18	14	14	34	59	43	57	2	219	172	106	93	64	20	44	62	42	59	263	202	69	141	22	83	100	77	100	59	36	64	108	15	201	84	26	45	82	113	32	177	31	21	15	26	62	88
1282	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;Methylophilus;genus;	Methylophilus	genus	31	23	4	4	5	8	30	21	18	1	57	6	64	30	7	5	16	40	37	4	95	126	38	89	19	42	56	34	82	13	26	5	28	11	24	29	9	18	49	56	28	109	24	12	9	11	47	21
1281	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;Methylobacillus;genus;	Methylobacillus	genus	2	2	0	0	0	0	0	0	1	0	1	0	20	0	1	1	0	4	1	0	0	0	0	17	2	3	1	18	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
-1281	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;unclassified_Methylophilaceae;;	unclassified_Methylophilaceae		60	5	14	10	9	26	28	22	38	1	161	166	22	63	56	14	28	18	4	54	168	76	31	35	1	38	43	25	18	46	9	59	78	4	177	55	16	27	31	55	4	65	7	8	6	15	13	67
1283	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;Methylotenera;genus;	Methylotenera	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
4327	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;Pseudomethylobacillus;genus;	Pseudomethylobacillus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
1319	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Gallionellaceae;family;	Gallionellaceae	family	110	21	14	19	20	27	205	194	20	3	241	11	54	342	41	5	33	100	35	76	670	145	94	75	12	63	236	146	52	115	17	121	47	164	939	450	1283	263	1060	385	434	116	71	9	246	91	436	435
2810	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Gallionellaceae;family;Sideroxydans;genus;	Sideroxydans	genus	110	19	14	19	19	25	191	189	20	3	241	11	53	337	41	5	31	99	35	72	656	139	83	74	12	62	213	146	51	111	17	118	47	150	927	436	1219	256	1043	374	404	110	71	8	241	87	434	430
-1320	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Gallionellaceae;family;unclassified_Gallionellaceae;;	unclassified_Gallionellaceae		0	2	0	0	1	2	14	5	0	0	0	0	1	5	0	0	2	1	0	4	14	6	11	1	0	1	23	0	1	4	0	3	0	14	12	14	64	7	17	11	30	6	0	1	5	4	2	5
3519	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;	Sterolibacteriaceae	family	14	4	10	29	9	39	26	5	8	0	21	11	16	9	2	5	4	18	5	18	23	43	13	16	1	15	29	30	13	123	8	33	52	12	138	41	17	61	48	19	15	47	7	1	10	42	40	74
1341	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;Methyloversatilis;genus;	Methyloversatilis	genus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1348	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;Sulfuritalea;genus;	Sulfuritalea	genus	2	2	0	4	0	5	10	1	0	0	0	3	5	2	0	0	0	10	0	7	1	1	1	5	1	1	0	10	0	38	2	12	11	0	80	3	0	13	2	0	1	7	0	0	1	12	0	36
3029	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;Sulfurisoma;genus;	Sulfurisoma	genus	1	0	0	1	0	4	3	0	0	0	2	2	0	0	0	0	2	0	1	4	3	1	2	0	0	1	0	1	0	6	0	1	1	1	2	2	0	2	1	1	1	2	0	0	0	4	2	2
