"Type","Genome.name","Domain","Phylum","Order","Refseq.name","taxid"
Nif-A,"Desulfuromonas sp. WTL",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfuromonas",890
Nif-A,"Beggiatoa leptomitiformis",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Beggiatoa",1021
Nif-A,"Azospirillum thiophilum",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Azospirillum thiophilum",528244
Nif-A,"Confluentimicrobium sp. EMB200-NS6",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Confluentimicrobium sp. EMB200-NS6",1609966
Nif-A,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Blastochloris viridis",1079
Nif-A,"Herbaspirillum rubrisubalbicans M1",BACTERIAL,Proteobacteria,Betaproteobacteria,"Herbaspirillum rubrisubalbicans",80842
Nif-A,"Burkholderia sp. CCGE1001",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderia sp. CCGE1001",640510
Nif-A,"Rhodobacter sphaeroides",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Nif-A,"Methylomonas denitrificans",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Methylomonas denitrificans",1538553
Nif-A,"Enterobacter sp. FY-07",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Enterobacter",547
Nif-A,"Klebsiella quasipneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella quasipneumoniae",1463165
Nif-A,"Desulfuromonas sp. DDH964",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfuromonas sp. DDH964",1823759
Nif-A,"Mesorhizobium loti MAFF303099",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Mesorhizobium loti",381
Nif-A,"Magnetospirillum magneticum AMB-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Magnetospirillum magneticum",84159
Nif-A,"Desulfitobacterium hafniense Y51",BACTERIAL,Firmicutes,Clostridia,"Desulfitobacterium hafniense",49338
Nif-A,"Azorhizobium caulinodans ORS 571",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Azorhizobium caulinodans",7
Nif-A,"Azospirillum sp. B510",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Azospirillum",191
Nif-A,"Arcobacter sp. L",BACTERIAL,Proteobacteria,Epsilonproteobacteria,"Arcobacter sp. L",944547
Nif-A,"Azoarcus sp. KH32C",BACTERIAL,Proteobacteria,Betaproteobacteria,"Azoarcus sp. KH32C",748247
Nif-A,"Azoarcus sp. KH32C",BACTERIAL,Proteobacteria,Betaproteobacteria,"Azoarcus sp. KH32C",748247
Nif-A,"Bradyrhizobium sp. S23321",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Bradyrhizobium sp. S23321",335659
Nif-A,"Rubrivivax gelatinosus IL144",BACTERIAL,Proteobacteria,Betaproteobacteria,"Rubrivivax gelatinosus",28068
Nif-A,"Leptospirillum ferrooxidans C2-3",BACTERIAL,Nitrospirae,Nitrospira,"Leptospirillum ferrooxidans",180
Nif-A,"Bradyrhizobium oligotrophicum S58",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Bradyrhizobium oligotrophicum",44255
Nif-A,"cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko",BACTERIAL,Cyanobacteria,None,"cyanobacterium endosymbiont of Epithemia turgida",718217
Nif-A,"Thioploca ingrica",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Thioploca ingrica",40754
Nif-A,"Burkholderiales bacterium GJ-E10",BACTERIAL,Proteobacteria,Betaproteobacteria,"Burkholderiales bacterium GJ-E10",1469502
Nif-A,"Rhodovulum sulfidophilum",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodovulum sulfidophilum",35806
Nif-A,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Blastochloris viridis",1079
Nif-A,"Klebsiella pneumoniae",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella pneumoniae",573
Nif-A,"Klebsiella oxytoca",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Klebsiella oxytoca",571
Nif-A,"Fischerella sp. NIES-3754",BACTERIAL,Cyanobacteria,None,"Fischerella sp. NIES-3754",1752063
Nif-A,"Leptolyngbya sp. O-77",BACTERIAL,Cyanobacteria,None,"Leptolyngbya sp. O-77",1080068
Nif-A,"Pectobacterium atrosepticum SCRI1043",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Pectobacterium atrosepticum",29471
Nif-A,"Frankia alni ACN14a",BACTERIAL,Actinobacteria,Actinobacteria,"Frankia alni",1859
Nif-A,"Rhizobium leguminosarum bv. viciae 3841",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium leguminosarum",384
Nif-A,"Bradyrhizobium sp. ORS 278",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Bradyrhizobium sp. ORS 278",114615
Nif-A,"Azoarcus sp. BH72",BACTERIAL,Proteobacteria,Betaproteobacteria,"Azoarcus sp. BH72",62928
Nif-A,"Gluconacetobacter diazotrophicus PA1 5",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Gluconacetobacter diazotrophicus",33996
Nif-A,"Azospirillum lipoferum 4B",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Azospirillum lipoferum",193
Nif-A,"Hyphomicrobium sp. MC1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Hyphomicrobium sp. MC1",717785
Nif-A,"Rhodospirillum photometricum DSM 122",BACTERIAL,Proteobacteria,Alphaproteobacteria,NA,NA
Nif-A,"Methylocystis sp. SC2",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Methylocystis sp. SC2",187303
Nif-A,"Sinorhizobium meliloti Rm41",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Sinorhizobium meliloti",382
Nif-A,"Rhizobium sp. IRBG74",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhizobium sp. IRBG74",424182
Nif-A,"Magnetospirillum gryphiswaldense MSR-1 v2",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Magnetospirillum gryphiswaldense",55518
Nif-A,"Neorhizobium galegae bv. orientalis str. HAMBI 540",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Neorhizobium galegae",399
Nif-A,"Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Neorhizobium galegae",399
Nif-A,"Paenibacillus riograndensis SBR5",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus riograndensis",483937
Nif-A,"Magnetospirillum sp. XM-1",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Magnetospirillum sp. XM-1",1663591
Nif-A,"Rhodobacter sphaeroides WS8N",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodobacter sphaeroides",1063
Nif-B,"Clostridium acetobutylicum ATCC 824",BACTERIAL,Firmicutes,Clostridia,"Clostridium acetobutylicum",1488
Nif-B,"Chlorobium tepidum TLS",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium",1091
Nif-B,"Desulfovibrio vulgaris str. Hildenborough",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio vulgaris",881
Nif-B,"Chlorobium luteolum DSM 273",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium",1091
Nif-B,"Chlorobium chlorochromatii CaD3",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium chlorochromatii",337090
Nif-B,"Syntrophobacter fumaroxidans MPOB",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Syntrophobacter fumaroxidans",119484
Nif-B,"Chlorobium phaeobacteroides DSM 266",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium phaeobacteroides",1096
Nif-B,"Desulfovibrio vulgaris DP4",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio vulgaris",881
Nif-B,"Desulfotomaculum reducens MI-1",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum reducens",59610
Nif-B,"Chlorobium phaeovibrioides DSM 265",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium phaeovibrioides",1094
Nif-B,"Clostridium beijerinckii NCIMB 8052",BACTERIAL,Firmicutes,Clostridia,"Clostridium beijerinckii",1520
Nif-B,"Alkaliphilus metalliredigens QYMF",BACTERIAL,Firmicutes,Clostridia,"Alkaliphilus metalliredigens",208226
Nif-B,"Chlorobium limicola DSM 245",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium limicola",1092
Nif-B,"Chlorobium phaeobacteroides BS1",BACTERIAL,Chlorobi,Chlorobia,"Chlorobium phaeobacteroides",1096
Nif-B,"Chlorobaculum parvum NCIB 8327",BACTERIAL,Chlorobi,Chlorobia,"Chlorobaculum parvum",274539
Nif-B,"Chloroherpeton thalassium ATCC 35110",BACTERIAL,Chlorobi,Chlorobia,"Chloroherpeton thalassium",100716
Nif-B,"Pelodictyon phaeoclathratiforme BU-1",BACTERIAL,Chlorobi,Chlorobia,"Pelodictyon phaeoclathratiforme",34090
Nif-B,"Prosthecochloris aestuarii DSM 271",BACTERIAL,Chlorobi,Chlorobia,"Prosthecochloris aestuarii",1102
Nif-B,"Desulfatibacillum alkenivorans AK-01",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfatibacillum alkenivorans",259354
Nif-B,"Desulfovibrio vulgaris str. 'Miyazaki F'",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio vulgaris",881
Nif-B,"Desulfobacterium autotrophicum HRM2",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfobacterium autotrophicum",2296
Nif-B,"Desulfovibrio salexigens DSM 2638",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio salexigens",880
Nif-B,"Desulfomicrobium baculatum DSM 4028",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfomicrobium baculatum",899
Nif-B,"Desulfotomaculum acetoxidans DSM 771",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum",1562
Nif-B,"Coraliomargarita akajimensis DSM 45221",BACTERIAL,Verrucomicrobia,Opitutae,"Coraliomargarita akajimensis",395922
Nif-B,"Thermincola potens JR",BACTERIAL,Firmicutes,Clostridia,"Thermincola potens",863643
Nif-B,"Desulfurivibrio alkaliphilus AHT 2",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfurivibrio alkaliphilus",427923
Nif-B,"Clostridium ljungdahlii DSM 13528",BACTERIAL,Firmicutes,Clostridia,"Clostridium ljungdahlii",1538
Nif-B,"Spirochaeta smaragdinae DSM 11293",BACTERIAL,Spirochaetes,Spirochaetia,NA,NA
Nif-B,"Desulfarculus baarsii DSM 2075",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfarculus baarsii",453230
Nif-B,"Clostridium cellulovorans 743B",BACTERIAL,Firmicutes,Clostridia,"Clostridium cellulovorans",1493
Nif-B,"Thermoanaerobacterium thermosaccharolyticum DSM 571",BACTERIAL,Firmicutes,Clostridia,"Thermoanaerobacterium thermosaccharolyticum",1517
Nif-B,"Spirochaeta thermophila DSM 6192",BACTERIAL,Spirochaetes,Spirochaetia,"Spirochaeta thermophila",154
Nif-B,"Ilyobacter polytropus DSM 2926",BACTERIAL,Fusobacteria,Fusobacteriia,"Ilyobacter polytropus",167642
Nif-B,"Desulfovibrio vulgaris RCH1",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio vulgaris",881
Nif-B,"Paludibacter propionicigenes WB4",BACTERIAL,Bacteroidetes,Bacteroidia,"Paludibacter propionicigenes",185300
Nif-B,"Ethanoligenens harbinense YUAN-3",BACTERIAL,Firmicutes,Clostridia,"Ethanoligenens harbinense",253239
Nif-B,"Desulfovibrio aespoeensis Aspo-2",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio",872
Nif-B,"Desulfobulbus propionicus DSM 2032",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfobulbus propionicus",894
Nif-B,"Clostridium acetobutylicum EA 2018",BACTERIAL,Firmicutes,Clostridia,"Clostridium acetobutylicum",1488
Nif-B,"Clostridium lentocellum DSM 5427",BACTERIAL,Firmicutes,Clostridia,"Clostridium",1485
Nif-B,"Desulfobacca acetoxidans DSM 11109",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfobacca acetoxidans",60893
Nif-B,"Desulfotomaculum nigrificans CO-1-SRB",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum nigrificans",1565
Nif-B,"Desulfotomaculum ruminis DSM 2154",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum ruminis",1564
Nif-B,"[Clostridium] clariflavum DSM 19732",BACTERIAL,Firmicutes,Clostridia,NA,NA
Nif-B,"Clostridium sp. BNL1100",BACTERIAL,Firmicutes,Clostridia,"Clostridium sp. BNL1100",755731
Nif-B,"Acetobacterium woodii DSM 1030",BACTERIAL,Firmicutes,Clostridia,"Acetobacterium woodii",33952
Nif-B,"Thermoanaerobacterium saccharolyticum JW/SL-YS485",BACTERIAL,Firmicutes,Clostridia,"Thermoanaerobacterium saccharolyticum",28896
Nif-B,"Desulfomonile tiedjei DSM 6799",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfomonile tiedjei",2358
Nif-B,"Pleurocapsa sp. PCC 7327",BACTERIAL,Cyanobacteria,None,NA,NA
Nif-B,"Thermoanaerobacterium thermosaccharolyticum M0795",BACTERIAL,Firmicutes,Clostridia,"Thermoanaerobacterium thermosaccharolyticum",1517
Nif-B,"Clostridium saccharoperbutylacetonicum N1-4(HMT)",BACTERIAL,Firmicutes,Clostridia,"Clostridium saccharoperbutylacetonicum",36745
Nif-B,"Desulfocapsa sulfexigens DSM 10523",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfocapsa sulfexigens",65555
Nif-B,"Clostridium pasteurianum BC1",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Nif-B,"Desulfotomaculum gibsoniae DSM 7213",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum",1562
Nif-B,"Clostridium autoethanogenum DSM 10061",BACTERIAL,Firmicutes,Clostridia,"Clostridium autoethanogenum",84023
Nif-B,"Opitutaceae bacterium TAV5",BACTERIAL,Verrucomicrobia,Opitutae,"Opitutaceae bacterium TAV5",794903
Nif-B,"Pelosinus sp. UFO1",BACTERIAL,Firmicutes,Negativicutes,"Pelosinus sp. UFO1",484770
Nif-B,"Dehalococcoides mccartyi CG4",BACTERIAL,Chloroflexi,Dehalococcoidia,"Dehalococcoides mccartyi",61435
Nif-B,"Clostridium beijerinckii ATCC 35702",BACTERIAL,Firmicutes,Clostridia,"Clostridium beijerinckii",1520
Nif-B,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Nif-B,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Nif-B,"Clostridium beijerinckii",BACTERIAL,Firmicutes,Clostridia,"Clostridium beijerinckii",1520
Nif-B,"Pelosinus fermentans JBW45",BACTERIAL,Firmicutes,Negativicutes,"Pelosinus fermentans",365349
Nif-B,"Dehalogenimonas sp. WBC-2",BACTERIAL,Chloroflexi,Dehalococcoidia,"Dehalogenimonas",670486
Nif-B,"Clostridium aceticum",BACTERIAL,Firmicutes,Clostridia,"Clostridium aceticum",84022
Nif-B,"Clostridium pasteurianum NRRL B-598",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Nif-B,"Clostridium butyricum",BACTERIAL,Firmicutes,Clostridia,"Clostridium butyricum",1492
Nif-B,"Clostridium autoethanogenum DSM 10061",BACTERIAL,Firmicutes,Clostridia,"Clostridium autoethanogenum",84023
Nif-B,"Desulfovibrio sp. J2",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio",872
Nif-B,"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2",BACTERIAL,Bacteroidetes,Bacteroidia,"Candidatus Azobacteroides pseudotrichonymphae",511435
Nif-B,"Clostridium kluyveri NBRC 12016",BACTERIAL,Firmicutes,Clostridia,"Clostridium kluyveri",1534
Nif-B,"Desulfovibrio magneticus RS-1",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio magneticus",184917
Nif-B,"Clostridium bornimense",BACTERIAL,Firmicutes,Clostridia,"Clostridium bornimense",1216932
Nif-B,"Clostridium kluyveri DSM 555",BACTERIAL,Firmicutes,Clostridia,"Clostridium kluyveri",1534
Nif-B,"Desulfovibrio desulfuricans ND132",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio desulfuricans",876
Nif-B,"Desulfovibrio africanus str. Walvis Bay",BACTERIAL,Proteobacteria,Deltaproteobacteria,"Desulfovibrio",872
Nif-B,"Methanosarcina acetivorans C2A",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina acetivorans",2214
Nif-B,"Methanosarcina mazei Go1",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina barkeri str. Fusaro",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanoregula boonei 6A8",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanoregula boonei",358766
Nif-B,"Methanosphaerula palustris E1-9c",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosphaerula palustris",475088
Nif-B,"Methanolacinia petrolearia DSM 11571",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanolacinia petrolearia",54120
Nif-B,"Methanosaeta concilii GP6",ARCHAEAL,Euryarchaeota,Methanomicrobia,NA,NA
Nif-B,"Methanocella conradii HZ254",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanocella conradii",1175444
Nif-B,"Methanolobus psychrophilus R15",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanolobus",2220
Nif-B,"Methanosarcina mazei Tuc01",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina sp. WWM596",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina sp. WWM596",1434103
Nif-B,"Methanosarcina sp. WH1",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina sp. WH1",1434102
Nif-B,"Methanosarcina siciliae T4/M",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina siciliae",38027
Nif-B,"Methanosarcina siciliae HI350",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina siciliae",38027
Nif-B,"Methanosarcina siciliae C2J",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina siciliae",38027
Nif-B,"Methanosarcina mazei WWM610",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina vacuolata Z-761",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina vacuolata",2215
Nif-B,"Methanosarcina sp. Kolksee",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina sp. Kolksee",1434099
Nif-B,"Methanosarcina barkeri str. Wiesmoor",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanosarcina barkeri MS",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanosarcina barkeri 227",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanosarcina mazei SarPi",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina mazei S-6",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina mazei LYC",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina mazei C16",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina mazei",2209
Nif-B,"Methanosarcina horonobensis HB-1 = JCM 15518",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina horonobensis",418008
Nif-B,"Methanosarcina barkeri 3",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanosarcina barkeri CM1",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Nif-B,"Methanocella arvoryzae MRE50",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanocella arvoryzae",1175445
Unknown,"Roseiflexus castenholzii DSM 13941",BACTERIAL,Chloroflexi,Chloroflexia,"Roseiflexus castenholzii",120962
Unknown,"Roseiflexus sp. RS-1",BACTERIAL,Chloroflexi,Chloroflexia,"Roseiflexus sp. RS-1",357808
Nif-C,"Caldicellulosiruptor saccharolyticus DSM 8903",BACTERIAL,Firmicutes,Clostridia,"Caldicellulosiruptor saccharolyticus",44001
Nif-C,"Candidatus Desulforudis audaxviator MP104C",BACTERIAL,Firmicutes,Clostridia,"Candidatus Desulforudis audaxviator",471827
Nif-C,"Syntrophothermus lipocalidus DSM 12680",BACTERIAL,Firmicutes,Clostridia,"Syntrophothermus lipocalidus",86170
Nif-C,"Caldicellulosiruptor kristjanssonii I77R1B",BACTERIAL,Firmicutes,Clostridia,"Caldicellulosiruptor kristjanssonii",52765
Nif-C,"Caldicellulosiruptor kronotskyensis 2002",BACTERIAL,Firmicutes,Clostridia,"Caldicellulosiruptor kronotskyensis",413889
Nif-C,"Desulfotomaculum kuznetsovii DSM 6115",BACTERIAL,Firmicutes,Clostridia,"Desulfotomaculum",1562
Nif-C,"Thermodesulfatator indicus DSM 15286",BACTERIAL,Thermodesulfobacteria,Thermodesulfobacteria,"Thermodesulfatator indicus",171695
Nif-C,"Caldicellulosiruptor lactoaceticus 6A",BACTERIAL,Firmicutes,Clostridia,"Caldicellulosiruptor lactoaceticus",52766
Nif-C,"Thermacetogenium phaeum DSM 12270",BACTERIAL,Firmicutes,Clostridia,"Thermacetogenium phaeum",85874
Nif-C,"Methanococcus aeolicus Nankai-3",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus aeolicus",42879
Nif-C,"Methanocaldococcus vulcanius M7",ARCHAEAL,Euryarchaeota,Methanococci,"Methanocaldococcus vulcanius",73913
Nif-C,"Methanocaldococcus sp. FS406-22",ARCHAEAL,Euryarchaeota,Methanococci,"Methanocaldococcus sp. FS406-22",644281
Nif-C,"Methanocaldococcus infernus ME",ARCHAEAL,Euryarchaeota,Methanococci,"Methanocaldococcus infernus",67760
Nif-C,"Methanotorris igneus Kol 5",ARCHAEAL,Euryarchaeota,Methanococci,"Methanotorris igneus",2189
Nif-C,"Methanothermococcus okinawensis IH1",ARCHAEAL,Euryarchaeota,Methanococci,"Methanothermococcus okinawensis",155863
Nif-D,"Methanothermobacter thermautotrophicus str. Delta H",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanothermobacter thermautotrophicus",145262
Nif-D,"Methanococcus maripaludis C5",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus maripaludis C5",402880
Nif-D,"Methanococcus vannielii SB",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus vannielii",2187
Nif-D,"Methanococcus maripaludis C7",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus maripaludis",39152
Nif-D,"Methanococcus maripaludis C6",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus maripaludis",39152
Nif-D,"Methanothermobacter marburgensis str. Marburg",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanothermobacter marburgensis",145263
Nif-D,"Methanobacterium paludis",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanobacterium paludis",868131
Nif-D,"Methanococcus maripaludis X1",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus maripaludis",39152
Nif-D,"Methanobacterium formicicum",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanobacterium formicicum",2162
Nif-D,"Methanococcus maripaludis S2",ARCHAEAL,Euryarchaeota,Methanococci,"Methanococcus maripaludis",39152
Nif-D,"Methanobacterium sp. MB1",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanobacterium sp. MB1",1379702
Nif-D,"Methanobacterium formicicum",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanobacterium formicicum",2162
Nif-D,"Methanobacterium formicicum",ARCHAEAL,Euryarchaeota,Methanobacteria,"Methanobacterium formicicum",2162
Vnf,"Ethanoligenens harbinense YUAN-3",BACTERIAL,Firmicutes,Clostridia,"Ethanoligenens harbinense",253239
Vnf,"Clostridium pasteurianum BC1",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Vnf,"Paenibacillus durus",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus durus",44251
Vnf,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Vnf,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia,"Clostridium pasteurianum",1501
Vnf,"Azotobacter chroococcum NCIMB 8003",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter chroococcum",353
Vnf,"Paenibacillus durus ATCC 35681",BACTERIAL,Firmicutes,Bacilli,"Paenibacillus durus",44251
Vnf,"Clostridium kluyveri NBRC 12016",BACTERIAL,Firmicutes,Clostridia,"Clostridium kluyveri",1534
Vnf,"Clostridium kluyveri DSM 555",BACTERIAL,Firmicutes,Clostridia,"Clostridium kluyveri",1534
Vnf,"Methanosarcina acetivorans C2A",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina acetivorans",2214
Vnf,"Methanosarcina barkeri str. Fusaro",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Methanosarcina siciliae T4/M",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina siciliae",38027
Vnf,"Methanosarcina siciliae HI350",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina siciliae",38027
Vnf,"Methanosarcina vacuolata Z-761",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina vacuolata",2215
Vnf,"Methanosarcina sp. Kolksee",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina sp. Kolksee",1434099
Vnf,"Methanosarcina barkeri str. Wiesmoor",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Methanosarcina barkeri MS",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Methanosarcina barkeri 227",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Methanosarcina barkeri 3",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Methanosarcina barkeri CM1",ARCHAEAL,Euryarchaeota,Methanomicrobia,"Methanosarcina barkeri",2208
Vnf,"Azotobacter vinelandii CA",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter vinelandii",354
Vnf,"Azotobacter vinelandii DJ",BACTERIAL,Proteobacteria,Gammaproteobacteria,"Azotobacter vinelandii",354
Vnf,"Rhodopseudomonas palustris CGA009",BACTERIAL,Proteobacteria,Alphaproteobacteria,"Rhodopseudomonas palustris",1076
